GeneSet	NGenes	Correlation	Direction	PValue	FDR
GO_REGULATION_OF_IMMUNE_EFFECTOR_PROCESS	3	-0.086584972896375	Up	0.0666502881620569	0.899257962917234
GO_REGULATION_OF_LEUKOCYTE_MIGRATION	3	-0.086584972896375	Up	0.0666502881620569	0.899257962917234
GO_PROTEIN_TETRAMERIZATION	3	-0.2179578464881	Up	0.0694097366623432	0.899257962917234
GO_HEAD_DEVELOPMENT	11	0.0159052281372161	Down	0.0702296138027789	0.899257962917234
GO_EPITHELIUM_DEVELOPMENT	7	0.0156284731036028	Down	0.0715348234546232	0.899257962917234
GO_REGULATION_OF_MYELOID_CELL_DIFFERENTIATION	4	-0.118386930069229	Down	0.0719971728557912	0.899257962917234
GO_NEURON_DIFFERENTIATION	13	-0.0325630302115963	Down	0.0726258815684841	0.899257962917234
GO_REGULATION_OF_CELL_DEVELOPMENT	9	0.0284053758650579	Down	0.074147773002913	0.899257962917234
GO_REGULATION_OF_NEURON_PROJECTION_DEVELOPMENT	5	-0.142046047373003	Down	0.0748147346769787	0.899257962917234
GO_REGULATION_OF_NEURON_DIFFERENTIATION	7	-0.0596036915435572	Down	0.0790557271966688	0.899257962917234
GO_INTRINSIC_COMPONENT_OF_PLASMA_MEMBRANE	3	0.0704336238024472	Down	0.0812969081038314	0.899257962917234
GO_MOLECULAR_TRANSDUCER_ACTIVITY	3	0.0704336238024472	Down	0.0812969081038314	0.899257962917234
GO_TRANSMEMBRANE_SIGNALING_RECEPTOR_ACTIVITY	3	0.0704336238024472	Down	0.0812969081038314	0.899257962917234
GO_TAXIS	5	-0.178949300022068	Down	0.0827314114976428	0.899257962917234
GO_NON_CANONICAL_WNT_SIGNALING_PATHWAY	3	-0.116074787014655	Down	0.0842461721044697	0.899257962917234
GO_CELL_CELL_SIGNALING	10	-0.0580385758099898	Down	0.0854792014501027	0.899257962917234
GO_MACROAUTOPHAGY	4	0.118076889868374	Up	0.0861532906430608	0.899257962917234
GO_COGNITION	4	0.189022330069721	Down	0.0861648020516717	0.899257962917234
GO_KINASE_BINDING	7	-0.0449785546016498	Down	0.0899988829493968	0.899257962917234
GO_LOCOMOTION	18	0.0717737017851515	Down	0.0912112860552385	0.899257962917234
GO_SENSORY_ORGAN_DEVELOPMENT	6	-0.104345404584313	Down	0.0927371092963326	0.899257962917234
GO_NEGATIVE_REGULATION_OF_CELL_CYCLE_G1_S_PHASE_TRANSITION	4	0.0604267876965125	Down	0.0951722396007098	0.899257962917234
GO_RNA_METABOLIC_PROCESS	15	-0.0512542133455355	Up	0.095930155588401	0.899257962917234
GO_MORPHOGENESIS_OF_AN_EPITHELIUM	3	-0.359972402955588	Down	0.0968337799809046	0.899257962917234
GO_NERVOUS_SYSTEM_PROCESS	7	0.0802036076756549	Down	0.0969449932094202	0.899257962917234
GO_HEPATICOBILIARY_SYSTEM_DEVELOPMENT	3	0.461092554450647	Up	0.0979909937089111	0.899257962917234
GO_REGULATION_OF_SMALL_MOLECULE_METABOLIC_PROCESS	3	0.115131339563466	Down	0.0981116856677718	0.899257962917234
GO_BLOOD_VESSEL_MORPHOGENESIS	3	-0.127890125430465	Up	0.0986204063179908	0.899257962917234
GO_CARDIOVASCULAR_SYSTEM_DEVELOPMENT	3	-0.127890125430465	Up	0.0986204063179908	0.899257962917234
HALLMARK_OXIDATIVE_PHOSPHORYLATION	3	0.094451312792402	Up	0.0988378661866634	0.899257962917234
GO_POSITIVE_REGULATION_OF_IMMUNE_RESPONSE	5	-0.0971776395303168	Down	0.0997201327808884	0.899257962917234
GO_ORGANOPHOSPHATE_METABOLIC_PROCESS	8	-0.0119002825347675	Down	0.101147742114101	0.899257962917234
GO_REGULATION_OF_CELL_PROJECTION_ORGANIZATION	6	-0.0731023561447359	Down	0.104633322113241	0.899257962917234
GO_TRANSCRIPTION_BY_RNA_POLYMERASE_I	3	-0.179454014501052	Up	0.109801946160977	0.899257962917234
GO_ENDOPLASMIC_RETICULUM	15	-0.0525055782629366	Up	0.110230537806115	0.899257962917234
GO_PROTEIN_MODIFICATION_BY_SMALL_PROTEIN_CONJUGATION_OR_REMOVAL	9	-0.00756328202874675	Down	0.110412996742926	0.899257962917234
GO_PROTEIN_LOCALIZATION_TO_NUCLEUS	6	-0.0183053524056439	Down	0.110456165851822	0.899257962917234
GO_REGULATION_OF_CELL_DIFFERENTIATION	17	-0.059834594303473	Down	0.113649111205682	0.899257962917234
GO_NEGATIVE_REGULATION_OF_CELL_DEATH	7	-0.0203284121442069	Up	0.113670243201069	0.899257962917234
GO_NEGATIVE_REGULATION_OF_CELL_CYCLE_PHASE_TRANSITION	5	0.0607653112798411	Down	0.114579504504898	0.899257962917234
GO_NEGATIVE_REGULATION_OF_MITOTIC_CELL_CYCLE	5	0.0607653112798411	Down	0.114579504504898	0.899257962917234
GO_REGULATION_OF_MACROAUTOPHAGY	3	0.245867793575145	Up	0.115939630970121	0.899257962917234
GO_GLYCEROLIPID_METABOLIC_PROCESS	6	-0.14305501826055	Down	0.116462406350381	0.899257962917234
GO_GLYCEROPHOSPHOLIPID_METABOLIC_PROCESS	6	-0.14305501826055	Down	0.116462406350381	0.899257962917234
GO_PHOSPHOLIPID_METABOLIC_PROCESS	6	-0.14305501826055	Down	0.116462406350381	0.899257962917234
GO_NUCLEOLUS	13	0.0353474418915129	Up	0.117022042655219	0.899257962917234
GO_DNA_TEMPLATED_TRANSCRIPTION_INITIATION	3	-0.0700916114118899	Up	0.117691056725874	0.899257962917234
GO_TISSUE_MORPHOGENESIS	5	-0.121942284273597	Down	0.117762841005707	0.899257962917234
GO_CATALYTIC_ACTIVITY_ACTING_ON_RNA	4	-0.0617354992788809	Up	0.118325538768326	0.899257962917234
GO_LYMPHOCYTE_DIFFERENTIATION	3	0.117570937970165	Down	0.118930081304747	0.899257962917234
GO_POSITIVE_REGULATION_OF_CELL_DEVELOPMENT	3	-0.00509985563518034	Down	0.122636184336867	0.899257962917234
GO_POSITIVE_REGULATION_OF_NERVOUS_SYSTEM_DEVELOPMENT	3	-0.00509985563518034	Down	0.122636184336867	0.899257962917234
GO_POSITIVE_REGULATION_OF_NEURON_DIFFERENTIATION	3	-0.00509985563518034	Down	0.122636184336867	0.899257962917234
GO_ANTERIOR_POSTERIOR_PATTERN_SPECIFICATION	3	0.46623894911187	Down	0.123663295618987	0.899257962917234
GO_REGIONALIZATION	3	0.46623894911187	Down	0.123663295618987	0.899257962917234
GO_POSITIVE_REGULATION_OF_CELLULAR_COMPONENT_ORGANIZATION	17	-0.0480929009469181	Down	0.124208603104151	0.899257962917234
GO_POSITIVE_REGULATION_OF_MITOCHONDRION_ORGANIZATION	7	-0.0735878830101419	Down	0.124406976568877	0.899257962917234
GO_REGULATION_OF_MITOCHONDRION_ORGANIZATION	7	-0.0735878830101419	Down	0.124406976568877	0.899257962917234
GO_CYTOSKELETON_DEPENDENT_INTRACELLULAR_TRANSPORT	3	-0.380731646130458	Down	0.128922484437194	0.899257962917234
GO_MICROTUBULE_BASED_MOVEMENT	3	-0.380731646130458	Down	0.128922484437194	0.899257962917234
GO_PATTERN_SPECIFICATION_PROCESS	4	0.389916276122202	Down	0.129303062469226	0.899257962917234
GO_ACTIVATION_OF_INNATE_IMMUNE_RESPONSE	3	-0.0280712290245335	Down	0.130772030328421	0.899257962917234
GO_POSITIVE_REGULATION_OF_DEFENSE_RESPONSE	3	-0.0280712290245335	Down	0.130772030328421	0.899257962917234
GO_REGULATION_OF_INNATE_IMMUNE_RESPONSE	3	-0.0280712290245335	Down	0.130772030328421	0.899257962917234
GO_ENDOMEMBRANE_SYSTEM_ORGANIZATION	4	0.198682855365551	Down	0.134317642066325	0.899257962917234
GO_EMBRYO_DEVELOPMENT_ENDING_IN_BIRTH_OR_EGG_HATCHING	6	0.0718156853292539	Down	0.135905523604617	0.899257962917234
GO_MITOTIC_CELL_CYCLE_CHECKPOINT	4	0.00764524314470065	Down	0.137973652593462	0.899257962917234
GO_G1_DNA_DAMAGE_CHECKPOINT	3	0.0906792324683996	Down	0.139103479923844	0.899257962917234
GO_MITOTIC_DNA_INTEGRITY_CHECKPOINT	3	0.0906792324683996	Down	0.139103479923844	0.899257962917234
GO_POSITIVE_REGULATION_OF_CELL_CYCLE_ARREST	3	0.0906792324683996	Down	0.139103479923844	0.899257962917234
GO_SIGNAL_TRANSDUCTION_INVOLVED_IN_CELL_CYCLE_CHECKPOINT	3	0.0906792324683996	Down	0.139103479923844	0.899257962917234
GO_OXIDATION_REDUCTION_PROCESS	9	-0.0241063025966949	Up	0.139375659294204	0.899257962917234
GO_POSITIVE_REGULATION_OF_CELL_PROJECTION_ORGANIZATION	3	-0.309056666949036	Down	0.139522883977452	0.899257962917234
GO_MAINTENANCE_OF_LOCATION	4	0.225559457396801	Down	0.14567835895281	0.899257962917234
GO_IMMUNE_SYSTEM_DEVELOPMENT	10	0.0101777264736839	Down	0.14598659350602	0.899257962917234
GO_POSITIVE_REGULATION_OF_LIPID_LOCALIZATION	3	-0.394878908417205	Down	0.145986898985399	0.899257962917234
GO_REGULATION_OF_LIPID_LOCALIZATION	3	-0.394878908417205	Down	0.145986898985399	0.899257962917234
GO_REGULATION_OF_LIPID_TRANSPORT	3	-0.394878908417205	Down	0.145986898985399	0.899257962917234
GO_PROTEIN_STABILIZATION	4	-0.128934633956315	Down	0.146793243714233	0.899257962917234
GO_MYELOID_CELL_DIFFERENTIATION	6	-0.0805219691582368	Down	0.147792580509963	0.899257962917234
GO_MRNA_METABOLIC_PROCESS	10	-0.0335210814151931	Up	0.147902098924443	0.899257962917234
GO_BLOOD_VESSEL_ENDOTHELIAL_CELL_MIGRATION	3	-0.16174271310438	Up	0.147971297887732	0.899257962917234
GO_ENDOTHELIAL_CELL_MIGRATION	3	-0.16174271310438	Up	0.147971297887732	0.899257962917234
GO_PHOSPHORIC_ESTER_HYDROLASE_ACTIVITY	4	-0.284342997776546	Up	0.148180215252383	0.899257962917234
GO_MUSCLE_CELL_PROLIFERATION	3	0.363917598278628	Up	0.149631845138198	0.899257962917234
GO_SMOOTH_MUSCLE_CELL_PROLIFERATION	3	0.363917598278628	Up	0.149631845138198	0.899257962917234
HALLMARK_HYPOXIA	7	0.0678226594666279	Up	0.150035050973068	0.899257962917234
GO_CYTOSKELETAL_PART	17	-0.0410756220679959	Down	0.150771937630435	0.899257962917234
GO_ACTIN_FILAMENT_BASED_PROCESS	14	0.0819299662469301	Down	0.150795685716917	0.899257962917234
GO_NEGATIVE_REGULATION_OF_CATALYTIC_ACTIVITY	6	0.0312338598937163	Down	0.151232766729931	0.899257962917234
GO_MEMBRANE_PROTEIN_COMPLEX	8	-0.0373168180361115	Down	0.151312914907904	0.899257962917234
GO_POSITIVE_REGULATION_OF_MULTICELLULAR_ORGANISMAL_PROCESS	11	-0.0508582615140112	Up	0.151996060456241	0.899257962917234
GO_POSITIVE_REGULATION_OF_MAPK_CASCADE	3	-0.214703979420184	Up	0.15367490618103	0.899257962917234
GO_NEGATIVE_REGULATION_OF_PROTEIN_METABOLIC_PROCESS	10	-0.00779850133996403	Down	0.156077883955815	0.899257962917234
GO_NEGATIVE_REGULATION_OF_SECRETION	3	-0.0871272655324837	Up	0.156823082606167	0.899257962917234
GO_CELL_PROJECTION_ORGANIZATION	18	-0.0454544329313233	Down	0.161023509297838	0.899257962917234
GO_CELLULAR_RESPONSE_TO_DRUG	4	0.0696452707017889	Up	0.161661096057398	0.899257962917234
GO_REGULATION_OF_PROTEIN_STABILITY	7	0.0968106938620688	Down	0.162963500489687	0.899257962917234
GO_EAR_DEVELOPMENT	4	-0.0892922939184206	Down	0.163943917424966	0.899257962917234
GO_FIBRILLAR_CENTER	3	-0.226327924162941	Up	0.167888252973228	0.899257962917234
GO_RNA_CATABOLIC_PROCESS	3	0.0497786774037818	Down	0.169572606111363	0.899257962917234
GO_REGULATION_OF_TRANSMEMBRANE_TRANSPORT	4	-0.132626402826522	Down	0.170747103737452	0.899257962917234
GO_POSITIVE_REGULATION_OF_KINASE_ACTIVITY	3	-0.29669925728489	Up	0.173753584163313	0.899257962917234
GO_POSITIVE_REGULATION_OF_TRANSFERASE_ACTIVITY	3	-0.29669925728489	Up	0.173753584163313	0.899257962917234
GO_RESPONSE_TO_ENDOPLASMIC_RETICULUM_STRESS	5	-0.1455168309127	Down	0.174321889618631	0.899257962917234
GO_SPINDLE	7	-0.124125972422474	Down	0.176497135164778	0.899257962917234
GO_CHROMATIN_BINDING	7	-0.0507036240984141	Down	0.176665306103202	0.899257962917234
GO_NEGATIVE_REGULATION_OF_PHOSPHORUS_METABOLIC_PROCESS	6	0.135419099865639	Down	0.177889103559236	0.899257962917234
GO_REGULATION_OF_CELL_ACTIVATION	5	0.137013583181106	Up	0.17863744626858	0.899257962917234
GO_SULFUR_COMPOUND_METABOLIC_PROCESS	5	0.0341002526178688	Up	0.179366434108284	0.899257962917234
GO_REPRODUCTION	17	-0.023625907773386	Down	0.181679829381562	0.899257962917234
GO_ANIMAL_ORGAN_MORPHOGENESIS	7	0.266878624906019	Down	0.181826638664271	0.899257962917234
GO_REGULATION_OF_EPITHELIAL_CELL_MIGRATION	3	-0.293469202028858	Up	0.183329181025612	0.899257962917234
GO_CELLULAR_RESPONSE_TO_OXIDATIVE_STRESS	4	-0.0835973025218879	Up	0.185142908836695	0.899257962917234
GO_RESPONSE_TO_OXIDATIVE_STRESS	4	-0.0835973025218879	Up	0.185142908836695	0.899257962917234
GO_MITOTIC_CELL_CYCLE	18	0.0505917402207374	Down	0.185244308663489	0.899257962917234
GO_MEMBRANE_ORGANIZATION	13	-0.021371916180455	Down	0.185986626403046	0.899257962917234
GO_CELL_CELL_ADHESION	5	0.155239983380123	Down	0.18603506204855	0.899257962917234
GO_NEURON_DEATH	4	-0.0188506303827359	Up	0.186572635890323	0.899257962917234
GO_VESICLE_LUMEN	4	-0.0474531749995739	Up	0.18830433641565	0.899257962917234
GO_OXIDOREDUCTASE_ACTIVITY	4	-0.243830411670054	Up	0.189348303806335	0.899257962917234
GO_CENTRAL_NERVOUS_SYSTEM_DEVELOPMENT	11	0.0625294244614368	Down	0.189588331232166	0.899257962917234
GO_MICROTUBULE_CYTOSKELETON	16	-0.0547558563360038	Down	0.190281759122244	0.899257962917234
GO_HEART_DEVELOPMENT	3	0.140454225253718	Down	0.191533107286007	0.899257962917234
GO_EMBRYONIC_MORPHOGENESIS	6	-0.109348190563133	Down	0.1915919816385	0.899257962917234
GO_RESPONSE_TO_EXTRACELLULAR_STIMULUS	8	5.65007212838253e-06	Up	0.19414541594008	0.899257962917234
GO_CELLULAR_RESPONSE_TO_STEROID_HORMONE_STIMULUS	4	0.0161829980339501	Down	0.194223049275154	0.899257962917234
GO_HORMONE_MEDIATED_SIGNALING_PATHWAY	4	0.0161829980339501	Down	0.194223049275154	0.899257962917234
GO_INTRACELLULAR_STEROID_HORMONE_RECEPTOR_SIGNALING_PATHWAY	4	0.0161829980339501	Down	0.194223049275154	0.899257962917234
GO_RESPONSE_TO_STEROID_HORMONE	4	0.0161829980339501	Down	0.194223049275154	0.899257962917234
GO_STEROID_HORMONE_MEDIATED_SIGNALING_PATHWAY	4	0.0161829980339501	Down	0.194223049275154	0.899257962917234
GO_NUCLEOLAR_PART	5	0.173705642056463	Up	0.194364981039863	0.899257962917234
HALLMARK_FATTY_ACID_METABOLISM	5	-0.0555963282298398	Up	0.195123249265727	0.899257962917234
GO_REGULATION_OF_CELLULAR_COMPONENT_BIOGENESIS	10	0.0523748523376142	Down	0.195766573283588	0.899257962917234
GO_PHAGOCYTOSIS	4	0.0732513655147347	Down	0.197687728247328	0.899257962917234
GO_MAINTENANCE_OF_LOCATION_IN_CELL	3	0.102606197589842	Down	0.197931926496557	0.899257962917234
GO_MAINTENANCE_OF_PROTEIN_LOCALIZATION_IN_ORGANELLE	3	0.102606197589842	Down	0.197931926496557	0.899257962917234
GO_MAINTENANCE_OF_PROTEIN_LOCATION	3	0.102606197589842	Down	0.197931926496557	0.899257962917234
GO_MAINTENANCE_OF_PROTEIN_LOCATION_IN_CELL	3	0.102606197589842	Down	0.197931926496557	0.899257962917234
GO_NEGATIVE_REGULATION_OF_NEURON_DEATH	3	0.195220724646504	Up	0.199939606234778	0.899257962917234
GO_CHROMATIN_ORGANIZATION	9	-0.00834358286573438	Down	0.200737418216566	0.899257962917234
GO_REGULATION_OF_ORGANELLE_ORGANIZATION	21	-0.0291324471763465	Down	0.20255536830542	0.899257962917234
GO_AGGRESOME	3	-0.0451597978932881	Down	0.203162377692134	0.899257962917234
GO_SIGNAL_TRANSDUCTION_BY_PROTEIN_PHOSPHORYLATION	7	-0.136981330493311	Up	0.204494132606252	0.899257962917234
GO_CELL_MORPHOGENESIS_INVOLVED_IN_DIFFERENTIATION	7	-0.124545507714725	Down	0.204535437591438	0.899257962917234
GO_MITOCHONDRION_ORGANIZATION	8	-0.0335097982077192	Down	0.205147141866909	0.899257962917234
GO_NEGATIVE_REGULATION_OF_CELLULAR_COMPONENT_ORGANIZATION	9	-0.040018751755083	Down	0.208863979259442	0.899257962917234
GO_NEGATIVE_REGULATION_OF_CELL_CYCLE_PROCESS	6	-0.038427703309575	Down	0.209410550994887	0.899257962917234
GO_ENDOSOMAL_PART	5	-0.00926078300763791	Down	0.209471178807293	0.899257962917234
GO_CYTOSKELETON_ORGANIZATION	18	0.0380100562477413	Down	0.210386962708902	0.899257962917234
GO_PROTEIN_MODIFICATION_BY_SMALL_PROTEIN_REMOVAL	3	0.225185511450051	Down	0.211081711736998	0.899257962917234
GO_MAINTENANCE_OF_CELL_NUMBER	3	-0.25044701037426	Up	0.212386607704675	0.899257962917234
GO_REGULATION_OF_PROTEIN_MODIFICATION_PROCESS	16	0.0364040687880858	Down	0.212867770915845	0.899257962917234
GO_CELL_BODY	5	-0.0241856203807736	Down	0.213418522530668	0.899257962917234
GO_EMBRYO_DEVELOPMENT	11	0.0550694922525965	Down	0.217202433414769	0.899257962917234
GO_NEGATIVE_REGULATION_OF_PROTEIN_MODIFICATION_PROCESS	6	0.260276260428388	Down	0.217820501246006	0.899257962917234
GO_GLYCEROLIPID_BIOSYNTHETIC_PROCESS	7	0.00742847335380277	Down	0.218241436205395	0.899257962917234
GO_TISSUE_MIGRATION	4	-0.157704696565612	Up	0.225136691901995	0.899257962917234
GO_ENDOPLASMIC_RETICULUM_PART	10	-0.0955476349663457	Up	0.225296815247277	0.899257962917234
GO_RESPONSE_TO_DRUG	5	0.111593030334678	Up	0.229386950900515	0.899257962917234
GO_ORGANIC_ACID_BIOSYNTHETIC_PROCESS	4	0.225497722388517	Up	0.230788350148154	0.899257962917234
GO_PEPTIDYL_LYSINE_ACETYLATION	3	0.561390878322668	Down	0.230802749115157	0.899257962917234
GO_PROTEIN_ACETYLATION	3	0.561390878322668	Down	0.230802749115157	0.899257962917234
GO_ATPASE_BINDING	3	-0.173759794782011	Up	0.230900450460125	0.899257962917234
GO_LEUKOCYTE_MIGRATION	5	0.105914496509295	Up	0.231295993872813	0.899257962917234
GO_POSITIVE_REGULATION_OF_INTRACELLULAR_PROTEIN_TRANSPORT	3	-0.00929442257775925	Down	0.231596875296513	0.899257962917234
GO_POSITIVE_REGULATION_OF_INTRACELLULAR_TRANSPORT	3	-0.00929442257775925	Down	0.231596875296513	0.899257962917234
GO_PLASMA_MEMBRANE_REGION	9	-0.0542217777710644	Up	0.232793569150889	0.899257962917234
GO_LEUKOCYTE_DIFFERENTIATION	5	0.0335701685978873	Down	0.233230686910054	0.899257962917234
GO_AMEBOIDAL_TYPE_CELL_MIGRATION	5	-0.114059207847048	Up	0.234102773803021	0.899257962917234
GO_SECRETORY_GRANULE	6	-0.0691310073228403	Up	0.234479993019707	0.899257962917234
GO_CELLULAR_COMPONENT_DISASSEMBLY	8	-0.112220235774686	Down	0.236554880389411	0.899257962917234
GO_NEGATIVE_REGULATION_OF_TRANSCRIPTION_BY_RNA_POLYMERASE_II	3	0.346396669714135	Down	0.236595768883629	0.899257962917234
GO_POSITIVE_REGULATION_OF_RELEASE_OF_CYTOCHROME_C_FROM_MITOCHONDRIA	3	0.0351159084006404	Down	0.242676664494818	0.899257962917234
GO_REGULATION_OF_RELEASE_OF_CYTOCHROME_C_FROM_MITOCHONDRIA	3	0.0351159084006404	Down	0.242676664494818	0.899257962917234
GO_RELEASE_OF_CYTOCHROME_C_FROM_MITOCHONDRIA	3	0.0351159084006404	Down	0.242676664494818	0.899257962917234
GO_CELLULAR_COMPONENT_MORPHOGENESIS	8	-0.0986021266780278	Down	0.242737443482483	0.899257962917234
HALLMARK_HEME_METABOLISM	3	0.251936093803522	Down	0.242809677335122	0.899257962917234
GO_CYTOSKELETAL_PROTEIN_BINDING	13	0.0643516695435615	Down	0.243328063465515	0.899257962917234
GO_CELL_CYCLE_G1_S_PHASE_TRANSITION	7	0.224522816335252	Down	0.244601440491442	0.899257962917234
GO_GOLGI_ASSOCIATED_VESICLE	4	0.631454266257522	Down	0.245192946449725	0.899257962917234
GO_GOLGI_ASSOCIATED_VESICLE_MEMBRANE	4	0.631454266257522	Down	0.245192946449725	0.899257962917234
GO_SPINDLE_POLE	3	-0.0583525687522973	Down	0.247368102608492	0.899257962917234
GO_REGULATION_OF_CELLULAR_CATABOLIC_PROCESS	10	0.0141643462855986	Down	0.248290323954388	0.899257962917234
GO_REGULATION_OF_CELL_CYCLE_G1_S_PHASE_TRANSITION	6	0.137394720275822	Down	0.248631960690411	0.899257962917234
GO_MICROTUBULE_BINDING	3	0.125228398906077	Down	0.2508747643579	0.899257962917234
GO_TUBULIN_BINDING	3	0.125228398906077	Down	0.2508747643579	0.899257962917234
GO_CELLULAR_ION_HOMEOSTASIS	5	-0.0723225684515819	Up	0.251520873308915	0.899257962917234
GO_NEGATIVE_REGULATION_OF_BINDING	3	0.448567790021111	Up	0.252172617062899	0.899257962917234
GO_NUCLEAR_MEMBRANE	4	0.0497292385989264	Down	0.252770963629612	0.899257962917234
GO_POLYMERIC_CYTOSKELETAL_FIBER	4	0.0319844812587501	Down	0.256108636075061	0.899257962917234
GO_PHOSPHOLIPID_BIOSYNTHETIC_PROCESS	6	0.00738136134922232	Down	0.256206953526926	0.899257962917234
GO_ORGANONITROGEN_COMPOUND_CATABOLIC_PROCESS	15	-0.0437862797537377	Up	0.260996750797339	0.899257962917234
GO_NUCLEAR_CHROMOSOME_TELOMERIC_REGION	5	0.0827788319910061	Down	0.262264322028839	0.899257962917234
GO_POSITIVE_REGULATION_OF_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION	7	-0.120858633948909	Down	0.262679190432789	0.899257962917234
GO_RESPONSE_TO_OXYGEN_LEVELS	5	0.0526979893676104	Up	0.266589028985662	0.899257962917234
GO_REGULATION_OF_TRANS_SYNAPTIC_SIGNALING	5	-0.0746624287483347	Down	0.268060692412209	0.899257962917234
GO_SYNAPTIC_SIGNALING	5	-0.0746624287483347	Down	0.268060692412209	0.899257962917234
GO_IDENTICAL_PROTEIN_BINDING	26	-0.0346383803246928	Up	0.268630168396593	0.899257962917234
GO_RAS_PROTEIN_SIGNAL_TRANSDUCTION	6	0.0528565845408388	Down	0.273960356712797	0.899257962917234
GO_SEQUENCE_SPECIFIC_DOUBLE_STRANDED_DNA_BINDING	7	0.0313520140621208	Down	0.274154021377023	0.899257962917234
GO_RECEPTOR_MEDIATED_ENDOCYTOSIS	3	0.0962187943320127	Down	0.275389984256608	0.899257962917234
GO_ZINC_ION_BINDING	4	-0.0904595114079656	Down	0.277705804969372	0.899257962917234
GO_GLIOGENESIS	4	0.223345854568739	Down	0.280504531062085	0.899257962917234
GO_IMMUNE_EFFECTOR_PROCESS	9	-0.0925845587109488	Up	0.280609663029996	0.899257962917234
GO_PROTEIN_ACYLATION	4	-0.0272099273177856	Down	0.281118201573246	0.899257962917234
GO_INCLUSION_BODY	5	0.0201302762073241	Down	0.282027843495311	0.899257962917234
GO_RESPONSE_TO_OXYGEN_CONTAINING_COMPOUND	15	-0.0119596340411648	Up	0.282313534623829	0.899257962917234
GO_LIPID_LOCALIZATION	6	-0.0772689166115579	Down	0.28251154377052	0.899257962917234
GO_COATED_VESICLE	4	0.659881910099001	Down	0.282792962572542	0.899257962917234
